Personnage 1,Personnage 2,Interactions
Spacetown,Vince Barrett,3
Spacetown,Ton,1
Spacetown,Voudriez,2
Spacetown,Supposez,1
Spacetown,Spacien,1
Spacetown,Voilà,1
Enderby,Spacetown,7
Enderby,Lije,5
Enderby,Olivaw,2
Enderby,Jacques,1
Enderby,Vince Barrett,3
Enderby,Robot Daneel,1
Enderby,Impossible,2
Enderby,Paul,1
Enderby,Pierre,1
Enderby,Roj Nemennuh Sarton,1
Enderby,Julius,4
Enderby,Pauvre Julius,1
Enderby,Shakespeare,1
Enderby,Fastolfe,2
Enderby,Prenez,1
Enderby,Manuel,1
Enderby,Gerrigel,2
Enderby,Voudriez,2
Enderby,Prétendez,1
Enderby,Supposez,2
Enderby,Mange,1
Enderby,Norris,1
Enderby,Julius Enderby,3
Enderby,Phil,1
Enderby,Francis Clousarr,1
Enderby,Sammy,1
Enderby,Lequel,1
Enderby,Francis,1
Enderby,Sarton,2
Enderby,Jézabel,1
Enderby,Impensable,1
Lije,Spacetown,5
Lije,Olivaw,3
Lije,Vince Barrett,2
Lije,Robot Daneel,1
Lije,Paul,1
Lije,Pierre,1
Lije,Roj Nemennuh Sarton,1
Lije,Paul Gerhard,1
Lije,Manuel,1
Lije,Voudriez,2
Lije,Prétendez,1
Lije,Supposez,1
Lije,Mange,1
Lije,Norris,1
Lije,Phil,1
Lije,Pardonnez,1
Lije,Lizzy,1
Lije,Sarton,2
Lije,Naboth,1
Lije,Mes,1
Lije,Lije Baley,1
Olivaw,Spacetown,3
Olivaw,Vince Barrett,1
Olivaw,Robot Daneel,1
Olivaw,Paul,1
Olivaw,Pierre,1
Olivaw,Roj Nemennuh Sarton,1
Olivaw,Spacien,1
Olivaw,Voudriez,1
Jacques,Spacetown,1
Jacques,Lije,1
Jacques,Olivaw,1
Jacques,Vince Barrett,1
Jacques,Robot Daneel,1
Jacques,Paul,1
Jacques,Pierre,1
Jacques,Roj Nemennuh Sarton,1
Jacques,Julius,1
Vince Barrett,Voudriez,1
Robot Daneel,Spacetown,1
Robot Daneel,Vince Barrett,1
Robot Daneel,Roj Nemennuh Sarton,1
Impossible,Spacetown,2
Impossible,Lije,2
Impossible,Olivaw,2
Impossible,Jacques,1
Impossible,Vince Barrett,1
Impossible,Robot Daneel,1
Impossible,Paul,1
Impossible,Pierre,1
Impossible,Roj Nemennuh Sarton,1
Impossible,Julius,2
Impossible,Voudriez,1
Impossible,Julius Enderby,1
Paul,Spacetown,1
Paul,Vince Barrett,1
Paul,Robot Daneel,1
Paul,Pierre,1
Paul,Roj Nemennuh Sarton,1
Pierre,Spacetown,1
Pierre,Vince Barrett,1
Pierre,Robot Daneel,1
Pierre,Roj Nemennuh Sarton,1
Roj Nemennuh Sarton,Spacetown,1
Roj Nemennuh Sarton,Vince Barrett,1
Julius,Spacetown,3
Julius,Lije,3
Julius,Olivaw,2
Julius,Vince Barrett,2
Julius,Robot Daneel,1
Julius,Paul,1
Julius,Pierre,1
Julius,Roj Nemennuh Sarton,1
Julius,Paul Gerhard,1
Julius,Sammy,1
Julius,Lequel,1
Julius,Voudriez,1
Julius,Julius Enderby,1
Julius,Supposez,1
Ecoutez,Spacetown,2
Ecoutez,Enderby,2
Ecoutez,Lije,1
Ecoutez,Olivaw,1
Ecoutez,Jacques,1
Ecoutez,Vince Barrett,1
Ecoutez,Robot Daneel,1
Ecoutez,Impossible,1
Ecoutez,Paul,1
Ecoutez,Pierre,1
Ecoutez,Roj Nemennuh Sarton,1
Ecoutez,Julius,1
Ecoutez,Pauvre Julius,1
Ecoutez,Shakespeare,1
Ecoutez,Fastolfe,1
Ecoutez,Prenez,1
Baley,Spacetown,7
Baley,Enderby,7
Baley,Lije,6
Baley,Olivaw,2
Baley,Jacques,1
Baley,Vince Barrett,3
Baley,Robot Daneel,1
Baley,Impossible,2
Baley,Paul,1
Baley,Pierre,1
Baley,Roj Nemennuh Sarton,1
Baley,Julius,5
Baley,Ecoutez,2
Baley,Pauvre Julius,1
Baley,Bentley,2
Baley,Churchill,1
Baley,Shakespeare,1
Baley,Fastolfe,4
Baley,Prenez,1
Baley,Elijah Baley,2
Baley,Ton,1
Baley,Ben,1
Baley,Gerrigel,3
Baley,Paul Gerhard,1
Baley,Heisenberg,1
